"Id","Estacion","Direccion","Tipo_Zona","Tipo_Emision","Parametros","Mediciones","so2","no2","o3","co","pm10","pm25","Fecha","Calidad_Ambiental","geo_shape","geo_point_2d","longitud","latitudes"
25,"Molí del Sol","Avda. Pío Baroja - Avda. General Avilés","Suburbana","Tráfico","Dióxido de azufre (SO2),Monóxido de carbono (CO),Ozono,Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5,Partículas PM1","http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/3A.csv",2,8,65,0.3,8,3,"2024-04-10T17:20:07+02:00","Razonablemente Buena","{""coordinates"": [-0.4088098969009376, 39.48111211090413], ""type"": ""Point""}","39.48111211090413, -0.4088098969009376",-0.408809896900938,39.4811121109041
28,"Viveros","Jardines de Viveros","Urbana","Fondo","Dióxido de azufre (SO2),Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Ozono,Partículas PM2.5,Partículas PM10,Niquel (Ni),Arsénico (As),Plomo (Pb),Cadmio (Cd)","http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/5A.csv",2,25,65,NA,NA,NA,"2024-04-10T17:20:10+02:00","Razonablemente Buena","{""coordinates"": [-0.36964822314381013, 39.47964092480533], ""type"": ""Point""}","39.47964092480533, -0.36964822314381013",-0.36964822314381,39.4796409248053
829,"Cabanyal","Carrer del Progrés, 379","Urbana","Fondo","","",NA,14,NA,NA,NA,NA,"2024-04-10T17:20:12+02:00","Razonablemente Buena","{""coordinates"": [-0.32853481349274394, 39.47439078535677], ""type"": ""Point""}","39.47439078535677, -0.32853481349274394",-0.328534813492744,39.4743907853568
432,"Patraix","Archiduque Carlos, 84ac","Urbana","Tráfico","Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5","",NA,23,NA,NA,25,8,"2024-04-10T17:20:14+02:00","Razonablemente Buena","{""coordinates"": [-0.4014113292191286, 39.45918908999643], ""type"": ""Point""}","39.45918908999643, -0.4014113292191286",-0.401411329219129,39.4591890899964
27,"Universidad Politécnica","Campus de la U. Politécnica. Avda. Tarongers","Suburbana","Fondo","Dióxido de azufre (SO2),Ozono,Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5","http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/1A.csv",0,5,57,NA,13,5,"2024-04-10T17:20:09+02:00","Buena","{""coordinates"": [-0.33740066052186946, 39.47964449692915], ""type"": ""Point""}","39.47964449692915, -0.33740066052186946",-0.337400660521869,39.4796444969291
23,"Avda. Francia","Avda. de Francia, 60","Urbana","Tráfico","Dióxido de azufre (SO2),Monóxido de carbono (CO),Ozono,Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Velocidad de viento (Veloc.), Particulas PM10, Particulas PM2,5","http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/6A.csv",3,6,57,0.1,21,4,"2024-04-10T17:20:06+02:00","Razonablemente Buena","{""coordinates"": [-0.342986232422652, 39.45782688751831], ""type"": ""Point""}","39.45782688751831, -0.342986232422652",-0.342986232422652,39.4578268875183
24,"Bulevard Sud","Avda. Tres Cruces s/n (Parking Cementerio de Valencia)","Urbana","Tráfico","Dióxido de azufre (SO2),Ozono,Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Niquel (Ni),Arsénico (As),Plomo (Pb),Benzo(a)pireno (BaP),Cadmio (Cd)","http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/7A.csv",2,7,62,NA,NA,NA,"2024-04-10T17:20:06+02:00","Razonablemente Buena","{""coordinates"": [-0.3963375643758562, 39.45039600550536], ""type"": ""Point""}","39.45039600550536, -0.3963375643758562",-0.396337564375856,39.4503960055054
26,"Pista Silla","C/ Filipinas, s/n","Urbana","Tráfico","Dióxido de azufre (SO2),Monóxido de carbono (CO),Ozono,Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Benceno (Benc),Tolueno (Tolue),Xileno (Xilen),Partículas PM10,Partículas PM2.5,Nivel de presión sonora (SPL)","http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/4A.csv",5,22,57,0.7,16,2,"2024-04-10T17:20:08+02:00","Buena","{""coordinates"": [-0.37664393657915707, 39.45806095369672], ""type"": ""Point""}","39.45806095369672, -0.37664393657915707",-0.376643936579157,39.4580609536967
431,"Valencia Olivereta","Av. del Cid amb Av. de les Tres Creus","Urbana","Tráfico","Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5","",NA,19,NA,NA,23,6,"2024-04-10T17:20:13+02:00","Razonablemente Buena","{""coordinates"": [-0.40592344552906795, 39.46924423509195], ""type"": ""Point""}","39.46924423509195, -0.40592344552906795",-0.405923445529068,39.4692442350919
22,"Valencia Centro","Plaza Ayuntamiento","Urbana","Tráfico","Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5","https://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/8A.csv",NA,23,NA,NA,16,5,"2024-04-10T17:20:11+02:00","Buena","{""coordinates"": [-0.37639765165532396, 39.470547670260125], ""type"": ""Point""}","39.470547670260125, -0.37639765165532396",-0.376397651655324,39.4705476702601
430,"Dr. Lluch","Calle Dr. Lluch, 48","Urbana","Tráfico","Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5,Partículas PM1","",NA,33,NA,NA,17,4,"2024-04-10T17:20:12+02:00","Buena","{""coordinates"": [-0.3282894894027388, 39.46668475546108], ""type"": ""Point""}","39.46668475546108, -0.3282894894027388",-0.328289489402739,39.4666847554611
